year,week,vacances_zone_c,ferie,inc_varicelle,inc_diarrhee,inc_grippe,nb_ope
2017,16,1,1,3304.0,10109.0,0.0,1589.0
2017,17,0,0,4834.0,12801.0,549.0,1631.0
2017,18,0,1,6254.0,9408.0,1154.0,1620.0
2017,19,0,1,6411.0,10309.0,734.0,1707.0
2017,20,0,0,7385.0,8421.0,753.0,1747.0
2017,21,0,1,5675.0,6784.0,0.0,1787.0
2017,22,0,0,2670.0,9282.0,22.0,1839.0
2017,23,0,1,2410.0,6391.0,185.0,1733.0
2017,24,0,0,3185.0,10729.0,337.0,1849.0
2017,25,0,0,3504.0,7808.0,0.0,2110.0
2017,26,0,0,1132.0,5627.0,1620.0,1784.0
2017,27,2,0,3803.0,7716.0,1327.0,1902.0
2017,28,7,1,1838.0,4650.0,287.0,1824.0
2017,29,7,0,2190.0,5738.0,1659.0,1586.0
2017,30,7,0,1321.0,3053.0,128.0,1607.0
2017,31,7,0,1088.0,6072.0,247.0,1518.0
2017,32,7,0,611.0,4284.0,83.0,1299.0
2017,33,7,1,1701.0,6747.0,565.0,1695.0
2017,34,7,0,1703.0,5653.0,565.0,1652.0
2017,35,7,0,2830.0,8819.0,242.0,1549.0
2017,36,0,0,369.0,11275.0,0.0,1546.0
2017,37,0,0,323.0,8028.0,1629.0,1777.0
2017,38,0,0,56.0,8373.0,1065.0,1823.0
2017,39,0,0,227.0,10671.0,7661.0,1789.0
2017,40,0,0,547.0,13710.0,2001.0,1673.0
2017,41,0,0,0.0,11327.0,1857.0,1870.0
2017,42,2,0,37.0,12027.0,1963.0,1861.0
2017,43,7,0,759.0,7602.0,945.0,1671.0
2017,44,7,1,96.0,5887.0,200.0,1605.0
2017,45,0,1,160.0,11987.0,3612.0,1788.0
2017,46,0,0,684.0,15145.0,4854.0,1814.0
2017,47,0,0,894.0,15815.0,3561.0,1900.0
2017,48,0,0,1029.0,17024.0,9566.0,1780.0
2017,49,0,0,800.0,23439.0,16952.0,1908.0
2017,50,0,0,2228.0,20995.0,39953.0,2152.0
2017,51,2,0,799.0,16218.0,49403.0,1911.0
2017,52,8,2,368.0,14938.0,48723.0,2329.0
